topic,terms
0,"dieta, keto, con, ese, en, del, uno, carne, comer, """
1,"no_él, no_ser, pero, si, no_el, no_tener, premium, no_de, no_poder, pagar"
2,"buen, para, uno, app, a, excelente, ayudar, aplicación, usar, fácil"
3,"!, gracias, por, gracia, video, información, excelente, doctor, este, su"
4,"pero, en, faltar, bien, alguno, solo, alimento, español, más, estar"
5,":, gracias, no_:, dios, recomiendo, doc, no_, frank, amar, v"
6,"?, poder, ayuno, hacer, tomar, agua, en, con, como, si"
7,"no_yo, no_dejar, no_poder, no_él, no_el, cuenta, mi, decir, no_registrar, ni"
8,"bajar, a, peso, ir, en, ya, perder, haber, kilo, hasta"
9,"grasa, ?, como, deber, o, d, saber, en, proteína, pesar"
