topic,rank,texto_proc
0,1,que mentirar ... ese producir malo digestión y elevar el ácido úrico y por tanto inflamación y dolor mucho importante
0,2,todo hacer daño comar con moderación y puro mentira yo cuerpo nesecita carbohidrato y azúcar en moderación pat de loco
1,1,"yo no_tener no_idea no_de él que yo pasar , tener uno rollo y ser sedentario pero no_engordo no_mas no_ni no_adelgazo no_obviamente no_pero no_entender no_decir no_porque no_engordo no_? no_ser no_como no_que querer pero solo no_entender"
1,2,no_ayudar no_el no_verdad por q no_tener no_menú no_a menos q el comprs
2,1,"ser perfecto para su función , si él que querer ser controlar él que comes y seguir determinado objetivo nutricional este ser tu aplicación , tener casi todo el alimento que tú poder encontrar en tu día a día y ser fácil cómodo e intuitivo ."
2,2,mucho sencillo conseguir uno seguimiento de tu caloría diario . tener todo el alimento y marca en su base de dato y tú proponer tu objetivo calórico según tu dato y objetivo a conseguir .
3,1,gran entrevista david ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! uno abrazo
3,2,"doctor m encantar su video , su paz y el logica de su conocimiento gracias ! ! ! ! él admirar mucho"
4,1,"no_dar no_el no_5 estrella porque aún quedar por mejorar , pero el mayoria de el alimento el encuentra ."
4,2,mejorar mucho de versión anterior . ya sincronizar con el actividad de endomondo pero no_sincronizar no_con no_garmin connect .
5,1,él notar que ser vegetariana : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : :
5,2,gracias doctor bendición : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : : la.saco de mi vidq
6,1,hola cuanto día deber ayunar o poder ayunar ? día seguido ? o día de por medio ?
6,2,durante el omad poder tomar te o cafe con stevia ? ? ? ? o deber ser solo
7,1,"el descargué pero cuando querer registrar yo no_poder no_y no_salir uno letrero que decir "" error no_él no_poder no_registrar en este momento "" él intentar varios vez pero no_poder no_."
7,2,"él haber cerrar seción automáticamente y ahora querer iniciar seción y yo decir "" error "" , ya no_poder no_ni no_crear otro cuenta , esperar él solucionar"
8,1,yo ir 3 semana y yaa bajar 9 kilo ya él yo acostumbrar el cuerpo estar feliz estar semana mi meta ser bajar 4 kilo
8,2,"yo él hacer hacer 2 año , bajar 9 kilo en menos de 2 mes sin hacer gimnacia .me mejoro hasta el piel , luego él dejar , ahora él ir a empezar de nuevo pero hacer ejercicio ."
9,1,"y como sacar ese porcentaje % de grasa , carbo y proteina ? ?"
9,2,"el pechuga de pollo tener 22 g de proteína por cada 100 g , no_30"
